"Country or Area","Year","Area","Sex","Age","Cause of death (WHO)","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Panama","2017","Total","Male","85 - 89","Human immunodeficiency virus [HIV] disease, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Panama","2017","Total","Male","85 - 89","Malaria, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","85 - 89","Neoplasms, ICD10","Data tabulated by year of registration","Final figure, complete","2020","161",""
"Panama","2017","Total","Male","85 - 89","Malignant neoplasms, ICD10","Data tabulated by year of registration","Final figure, complete","2020","151",""
"Panama","2017","Total","Male","85 - 89","Malignant neoplasm of lip, oral cavity and pharynx, ICD10","Data tabulated by year of registration","Final figure, complete","2020","4",""
"Panama","2017","Total","Male","85 - 89","Malignant neoplasm of oesophagus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","4",""
"Panama","2017","Total","Male","85 - 89","Malignant neoplasm of stomach, ICD10","Data tabulated by year of registration","Final figure, complete","2020","13",""
"Panama","2017","Total","Male","85 - 89","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal, ICD10","Data tabulated by year of registration","Final figure, complete","2020","15",""
"Panama","2017","Total","Male","85 - 89","Malignant neoplasm of liver and intrahepatic bile ducts, ICD10","Data tabulated by year of registration","Final figure, complete","2020","7",""
"Panama","2017","Total","Male","85 - 89","Malignant neoplasm of pancreas, ICD10","Data tabulated by year of registration","Final figure, complete","2020","8",""
"Panama","2017","Total","Male","85 - 89","Malignant neoplasm of trachea, bronchus and lung, ICD10","Data tabulated by year of registration","Final figure, complete","2020","10",""
"Panama","2017","Total","Male","85 - 89","Malignant neoplasm of prostate, ICD10","Data tabulated by year of registration","Final figure, complete","2020","64",""
"Panama","2017","Total","Male","85 - 89","Malignant neoplasm of lymphoid, haematopoietic and related tissue, ICD10","Data tabulated by year of registration","Final figure, complete","2020","9",""
"Panama","2017","Total","Male","85 - 89","Disorders of the blood and blood-forming organs and certain disorders involving the immune mec ICD10","Data tabulated by year of registration","Final figure, complete","2020","10",""
"Panama","2017","Total","Male","85 - 89","Anaemias, ICD10","Data tabulated by year of registration","Final figure, complete","2020","7",""
"Panama","2017","Total","Male","85 - 89","Endocrine, nutritional and metabolic diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","61",""
"Panama","2017","Total","Male","85 - 89","Diabetes mellitus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","45",""
"Panama","2017","Total","Male","85 - 89","Malnutrition, ICD10","Data tabulated by year of registration","Final figure, complete","2020","6",""
"Panama","2017","Total","Male","85 - 89","Mental and behavioural disorders, ICD10","Data tabulated by year of registration","Final figure, complete","2020","5",""
"Panama","2017","Total","Male","85 - 89","Diseases of the nervous system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","44",""
"Panama","2017","Total","Male","85 - 89","Diseases of the circulatory system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","416",""
"Panama","2017","Total","Male","85 - 89","Acute rheumatic fever and chronic rheumatic heart diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Panama","2017","Total","Male","85 - 89","Hypertensive diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","59",""
"Panama","2017","Total","Male","85 - 89","Ischaemic heart diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","108",""
"Panama","2017","Total","Male","85 - 89","Cerebrovascular diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","126",""
"Panama","2017","Total","Male","85 - 89","Diseases of arteries, arterioles and capillaries, ICD10","Data tabulated by year of registration","Final figure, complete","2020","17",""
"Panama","2017","Total","Male","85 - 89","Diseases of the respiratory  system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","144",""
"Panama","2017","Total","Male","85 - 89","Influenza, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","85 - 89","Pneumonia, ICD10","Data tabulated by year of registration","Final figure, complete","2020","50",""
"Panama","2017","Total","Male","85 - 89","Chronic lower respiratory diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","46",""
"Panama","2017","Total","Male","85 - 89","Diseases of the digestive system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","44",""
"Panama","2017","Total","Male","85 - 89","Gastric and duodenal ulcer, ICD10","Data tabulated by year of registration","Final figure, complete","2020","3",""
"Panama","2017","Total","Male","85 - 89","Diseases of the liver, ICD10","Data tabulated by year of registration","Final figure, complete","2020","7",""
"Panama","2017","Total","Male","85 - 89","Diseases of the musculoskeletal system and connective tissue, ICD10","Data tabulated by year of registration","Final figure, complete","2020","4",""
"Panama","2017","Total","Male","85 - 89","Diseases of the genitourinary system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","76",""
"Panama","2017","Total","Male","85 - 89","Disorders of kidney and ureter, ICD10","Data tabulated by year of registration","Final figure, complete","2020","60",""
"Panama","2017","Total","Male","85 - 89","Hyperplasia of prostate, ICD10","Data tabulated by year of registration","Final figure, complete","2020","5",""
"Panama","2017","Total","Male","85 - 89","Certain conditions originating in the perinatal period, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","85 - 89","Congenital malformations, deformations and chromosomal abnormalities , ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","85 - 89","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified, ICD10","Data tabulated by year of registration","Final figure, complete","2020","43",""
"Panama","2017","Total","Male","85 - 89","All other diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","10",""
"Panama","2017","Total","Male","85 - 89","External causes, ICD10","Data tabulated by year of registration","Final figure, complete","2020","17",""
"Panama","2017","Total","Male","85 - 89","Accidents, ICD10","Data tabulated by year of registration","Final figure, complete","2020","11",""
"Panama","2017","Total","Male","85 - 89","Transport accidents, ICD10","Data tabulated by year of registration","Final figure, complete","2020","4",""
"Panama","2017","Total","Male","85 - 89","Falls, ICD10","Data tabulated by year of registration","Final figure, complete","2020","4",""
"Panama","2017","Total","Male","85 - 89","Accidental drowning and submersion, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Panama","2017","Total","Male","85 - 89","Exposure to smoke, fire and flames, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","85 - 89","Accidental poisoning by and exposure to noxious substances, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","85 - 89","Intentional self-harm, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Panama","2017","Total","Male","85 - 89","Assault, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","85 - 89","All other external causes, ICD10","Data tabulated by year of registration","Final figure, complete","2020","4",""
"Panama","2017","Total","Male","85 - 89","All causes, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1068",""
"Panama","2017","Total","Male","90 - 94","Certain infectious and parasitic diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","14",""
"Panama","2017","Total","Male","90 - 94","Intestinal infectious diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","7",""
"Panama","2017","Total","Male","90 - 94","Tuberculosis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Panama","2017","Total","Male","90 - 94","Tetanus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","90 - 94","Diphtheria, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","90 - 94","Whooping cough, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","90 - 94","Meningococcal infection, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","90 - 94","Septicaemia, ICD10","Data tabulated by year of registration","Final figure, complete","2020","3",""
"Panama","2017","Total","Male","90 - 94","Acute poliomyelitis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","90 - 94","Measles, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","90 - 94","Viral hepatitis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","90 - 94","Human immunodeficiency virus [HIV] disease, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Panama","2017","Total","Male","90 - 94","Malaria, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","90 - 94","Neoplasms, ICD10","Data tabulated by year of registration","Final figure, complete","2020","62",""
"Panama","2017","Total","Male","90 - 94","Malignant neoplasms, ICD10","Data tabulated by year of registration","Final figure, complete","2020","57",""
"Panama","2017","Total","Male","90 - 94","Malignant neoplasm of lip, oral cavity and pharynx, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","90 - 94","Malignant neoplasm of oesophagus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Panama","2017","Total","Male","90 - 94","Malignant neoplasm of stomach, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Panama","2017","Total","Male","90 - 94","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Panama","2017","Total","Male","90 - 94","Malignant neoplasm of liver and intrahepatic bile ducts, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Panama","2017","Total","Male","90 - 94","Malignant neoplasm of pancreas, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Panama","2017","Total","Male","90 - 94","Malignant neoplasm of trachea, bronchus and lung, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Panama","2017","Total","Male","90 - 94","Malignant neoplasm of prostate, ICD10","Data tabulated by year of registration","Final figure, complete","2020","30",""
"Panama","2017","Total","Male","90 - 94","Malignant neoplasm of lymphoid, haematopoietic and related tissue, ICD10","Data tabulated by year of registration","Final figure, complete","2020","3",""
"Panama","2017","Total","Male","90 - 94","Disorders of the blood and blood-forming organs and certain disorders involving the immune mec ICD10","Data tabulated by year of registration","Final figure, complete","2020","3",""
"Panama","2017","Total","Male","90 - 94","Anaemias, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Panama","2017","Total","Male","90 - 94","Endocrine, nutritional and metabolic diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","37",""
"Panama","2017","Total","Male","90 - 94","Diabetes mellitus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","25",""
"Panama","2017","Total","Male","90 - 94","Malnutrition, ICD10","Data tabulated by year of registration","Final figure, complete","2020","3",""
"Panama","2017","Total","Male","90 - 94","Mental and behavioural disorders, ICD10","Data tabulated by year of registration","Final figure, complete","2020","5",""
"Panama","2017","Total","Male","90 - 94","Diseases of the nervous system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","19",""
"Panama","2017","Total","Male","90 - 94","Diseases of the circulatory system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","308",""
"Panama","2017","Total","Male","90 - 94","Acute rheumatic fever and chronic rheumatic heart diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Panama","2017","Total","Male","90 - 94","Hypertensive diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","30",""
"Panama","2017","Total","Male","90 - 94","Ischaemic heart diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","67",""
"Panama","2017","Total","Male","90 - 94","Cerebrovascular diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","111",""
"Panama","2017","Total","Male","90 - 94","Diseases of arteries, arterioles and capillaries, ICD10","Data tabulated by year of registration","Final figure, complete","2020","3",""
"Panama","2017","Total","Male","90 - 94","Diseases of the respiratory  system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","93",""
"Panama","2017","Total","Male","90 - 94","Influenza, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","90 - 94","Pneumonia, ICD10","Data tabulated by year of registration","Final figure, complete","2020","21",""
"Panama","2017","Total","Male","90 - 94","Chronic lower respiratory diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","38",""
"Panama","2017","Total","Male","90 - 94","Diseases of the digestive system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","28",""
"Panama","2017","Total","Male","90 - 94","Gastric and duodenal ulcer, ICD10","Data tabulated by year of registration","Final figure, complete","2020","3",""
"Panama","2017","Total","Male","90 - 94","Diseases of the liver, ICD10","Data tabulated by year of registration","Final figure, complete","2020","6",""
"Panama","2017","Total","Male","90 - 94","Diseases of the musculoskeletal system and connective tissue, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Panama","2017","Total","Male","90 - 94","Diseases of the genitourinary system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","42",""
"Panama","2017","Total","Male","90 - 94","Disorders of kidney and ureter, ICD10","Data tabulated by year of registration","Final figure, complete","2020","31",""
"Panama","2017","Total","Male","90 - 94","Hyperplasia of prostate, ICD10","Data tabulated by year of registration","Final figure, complete","2020","6",""
"Panama","2017","Total","Male","90 - 94","Certain conditions originating in the perinatal period, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","90 - 94","Congenital malformations, deformations and chromosomal abnormalities , ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","90 - 94","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified, ICD10","Data tabulated by year of registration","Final figure, complete","2020","35",""
"Panama","2017","Total","Male","90 - 94","All other diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","7",""
"Panama","2017","Total","Male","90 - 94","External causes, ICD10","Data tabulated by year of registration","Final figure, complete","2020","10",""
"Panama","2017","Total","Male","90 - 94","Accidents, ICD10","Data tabulated by year of registration","Final figure, complete","2020","4",""
"Panama","2017","Total","Male","90 - 94","Transport accidents, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Panama","2017","Total","Male","90 - 94","Falls, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Panama","2017","Total","Male","90 - 94","Accidental drowning and submersion, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","90 - 94","Exposure to smoke, fire and flames, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","90 - 94","Accidental poisoning by and exposure to noxious substances, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","90 - 94","Intentional self-harm, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Panama","2017","Total","Male","90 - 94","Assault, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Panama","2017","Total","Male","90 - 94","All other external causes, ICD10","Data tabulated by year of registration","Final figure, complete","2020","4",""
"Panama","2017","Total","Male","90 - 94","All causes, ICD10","Data tabulated by year of registration","Final figure, complete","2020","664",""
"Panama","2017","Total","Male","95 +","Certain infectious and parasitic diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","10",""
"Panama","2017","Total","Male","95 +","Intestinal infectious diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","3",""
"Panama","2017","Total","Male","95 +","Tuberculosis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Panama","2017","Total","Male","95 +","Tetanus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","95 +","Diphtheria, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","95 +","Whooping cough, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","95 +","Meningococcal infection, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","95 +","Septicaemia, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Panama","2017","Total","Male","95 +","Acute poliomyelitis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","95 +","Measles, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","95 +","Viral hepatitis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","95 +","Human immunodeficiency virus [HIV] disease, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Panama","2017","Total","Male","95 +","Malaria, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","95 +","Neoplasms, ICD10","Data tabulated by year of registration","Final figure, complete","2020","33",""
"Panama","2017","Total","Male","95 +","Malignant neoplasms, ICD10","Data tabulated by year of registration","Final figure, complete","2020","28",""
"Panama","2017","Total","Male","95 +","Malignant neoplasm of lip, oral cavity and pharynx, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Panama","2017","Total","Male","95 +","Malignant neoplasm of oesophagus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","95 +","Malignant neoplasm of stomach, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Panama","2017","Total","Male","95 +","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal, ICD10","Data tabulated by year of registration","Final figure, complete","2020","4",""
"Panama","2017","Total","Male","95 +","Malignant neoplasm of liver and intrahepatic bile ducts, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","95 +","Malignant neoplasm of pancreas, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","95 +","Malignant neoplasm of trachea, bronchus and lung, ICD10","Data tabulated by year of registration","Final figure, complete","2020","3",""
"Panama","2017","Total","Male","95 +","Malignant neoplasm of prostate, ICD10","Data tabulated by year of registration","Final figure, complete","2020","12",""
"Panama","2017","Total","Male","95 +","Malignant neoplasm of lymphoid, haematopoietic and related tissue, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Panama","2017","Total","Male","95 +","Disorders of the blood and blood-forming organs and certain disorders involving the immune mec ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Panama","2017","Total","Male","95 +","Anaemias, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Panama","2017","Total","Male","95 +","Endocrine, nutritional and metabolic diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","16",""
"Panama","2017","Total","Male","95 +","Diabetes mellitus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","11",""
"Panama","2017","Total","Male","95 +","Malnutrition, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Panama","2017","Total","Male","95 +","Mental and behavioural disorders, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Panama","2017","Total","Male","95 +","Diseases of the nervous system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","11",""
"Panama","2017","Total","Male","95 +","Diseases of the circulatory system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","192",""
"Panama","2017","Total","Male","95 +","Acute rheumatic fever and chronic rheumatic heart diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","95 +","Hypertensive diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","21",""
"Panama","2017","Total","Male","95 +","Ischaemic heart diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","55",""
"Panama","2017","Total","Male","95 +","Cerebrovascular diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","48",""
"Panama","2017","Total","Male","95 +","Diseases of arteries, arterioles and capillaries, ICD10","Data tabulated by year of registration","Final figure, complete","2020","8",""
"Panama","2017","Total","Male","95 +","Diseases of the respiratory  system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","81",""
"Panama","2017","Total","Male","95 +","Influenza, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","95 +","Pneumonia, ICD10","Data tabulated by year of registration","Final figure, complete","2020","21",""
"Panama","2017","Total","Male","95 +","Chronic lower respiratory diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","35",""
"Panama","2017","Total","Male","95 +","Diseases of the digestive system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","8",""
"Panama","2017","Total","Male","95 +","Gastric and duodenal ulcer, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","95 +","Diseases of the liver, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","95 +","Diseases of the musculoskeletal system and connective tissue, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Panama","2017","Total","Male","95 +","Diseases of the genitourinary system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","21",""
"Panama","2017","Total","Male","95 +","Disorders of kidney and ureter, ICD10","Data tabulated by year of registration","Final figure, complete","2020","14",""
"Panama","2017","Total","Male","95 +","Hyperplasia of prostate, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Panama","2017","Total","Male","95 +","Certain conditions originating in the perinatal period, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","95 +","Congenital malformations, deformations and chromosomal abnormalities , ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","95 +","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified, ICD10","Data tabulated by year of registration","Final figure, complete","2020","22",""
"Panama","2017","Total","Male","95 +","All other diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","95 +","External causes, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Panama","2017","Total","Male","95 +","Accidents, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","95 +","Transport accidents, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","95 +","Falls, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","95 +","Accidental drowning and submersion, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","95 +","Exposure to smoke, fire and flames, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","95 +","Accidental poisoning by and exposure to noxious substances, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","95 +","Intentional self-harm, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","95 +","Assault, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","95 +","All other external causes, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Panama","2017","Total","Male","95 +","All causes, ICD10","Data tabulated by year of registration","Final figure, complete","2020","399",""
"Panama","2017","Total","Male","Unknown","Certain infectious and parasitic diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Panama","2017","Total","Male","Unknown","Intestinal infectious diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Tuberculosis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Tetanus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Diphtheria, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Whooping cough, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Meningococcal infection, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Septicaemia, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Acute poliomyelitis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Measles, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Viral hepatitis, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Human immunodeficiency virus [HIV] disease, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Panama","2017","Total","Male","Unknown","Malaria, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Neoplasms, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Panama","2017","Total","Male","Unknown","Malignant neoplasms, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Panama","2017","Total","Male","Unknown","Malignant neoplasm of lip, oral cavity and pharynx, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Malignant neoplasm of oesophagus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Malignant neoplasm of stomach, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Malignant neoplasm of colon, rectosigmoid junction, rectum, anus and anal canal, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Malignant neoplasm of liver and intrahepatic bile ducts, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Malignant neoplasm of pancreas, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Malignant neoplasm of trachea, bronchus and lung, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Malignant neoplasm of prostate, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Malignant neoplasm of lymphoid, haematopoietic and related tissue, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Disorders of the blood and blood-forming organs and certain disorders involving the immune mec ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Panama","2017","Total","Male","Unknown","Anaemias, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Panama","2017","Total","Male","Unknown","Endocrine, nutritional and metabolic diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Diabetes mellitus, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Malnutrition, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Mental and behavioural disorders, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Panama","2017","Total","Male","Unknown","Diseases of the nervous system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Diseases of the circulatory system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","4",""
"Panama","2017","Total","Male","Unknown","Acute rheumatic fever and chronic rheumatic heart diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Hypertensive diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Ischaemic heart diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
"Panama","2017","Total","Male","Unknown","Cerebrovascular diseases, ICD10","Data tabulated by year of registration","Final figure, complete","2020","1",""
"Panama","2017","Total","Male","Unknown","Diseases of arteries, arterioles and capillaries, ICD10","Data tabulated by year of registration","Final figure, complete","2020","0",""
"Panama","2017","Total","Male","Unknown","Diseases of the respiratory  system, ICD10","Data tabulated by year of registration","Final figure, complete","2020","2",""
